,ORG Name,ORG Link,Size,Sector,Country,Region,Report
253,eni north africa - Libyan Branch,https://database.globalreporting.org/organizations/9357/,Large,Energy,ly,Africa,['2010 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/31004/']
254,ENL Commercial Ltd,https://database.globalreporting.org/organizations/16935/,Large,Financial Services,mu,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/62922/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54949/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54950/']"
255,Enviro Marine Consultants,https://database.globalreporting.org/organizations/22802/,SME,Real Estate,na,Africa,[]
256,EnX Group Limited,https://database.globalreporting.org/organizations/4802/,Large,Energy Utilities,za,Africa,"['2019 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/75903/', '2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/60598/', '2017 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/60597/', '2016 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/60596/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60610/', '2014 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/19201/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61629/', '2013 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/14760/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/12271/']"
257,EOH,https://database.globalreporting.org/organizations/4764/,Large,Other,za,Africa,"['2019 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/60873/', '2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/61820/', '2016 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/45233/', '2015 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/34622/', '2014 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/45222/', '2013 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/17473/', '2012 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/17474/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/11970/']"
258,Eqstra,https://database.globalreporting.org/organizations/1713/,Large,Equipment,za,Africa,"['2017 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/46738/', '2015 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/32664/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22541/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17545/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/14937/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/9168/', '2010 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/9175/', '2009 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/3979/']"
259,Equity Group Holdings,https://database.globalreporting.org/organizations/15274/,Large,Financial Services,ke,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/62193/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/50003/']"
260,Eranove,https://database.globalreporting.org/organizations/13616/,Large,Other,ci,Africa,"['2018 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/64246/', '2017 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/53872/', '2016 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/44569/']"
261,Eskom,https://database.globalreporting.org/organizations/3510/,Large,Energy Utilities,za,Africa,"['2019 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/75229/', '2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61134/', '2017 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/61101/', '2016 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/42656/', '2015 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/32685/', '2014 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/24830/', '2013 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/19154/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/11793/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/9585/', '2010 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/8618/', '2009 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/8619/', '2008 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/8621/', '2007 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/8622/', '2006 - GRI - G2 GRI - G2: https://database.globalreporting.org/reports/8623/', '2005 - GRI - G2 GRI - G2: https://database.globalreporting.org/reports/10549/', '2003 - GRI - G1 GRI - G1: https://database.globalreporting.org/reports/10545/', '2002 - GRI - G1 GRI - G1: https://database.globalreporting.org/reports/10542/', '2001 - GRI - G1 GRI - G1: https://database.globalreporting.org/reports/10538/', '2000 - GRI - G1 GRI - G1: https://database.globalreporting.org/reports/10534/']"
262,Esorfranki,https://database.globalreporting.org/organizations/4763/,MNE,Construction Materials,za,Africa,"['2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/61400/', '2017 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/53388/', '2016 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/46783/', '2015 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/34623/', '2014 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/21963/', '2013 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/19013/', '2012 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/19261/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/11969/']"
263,Ethanol Company Limited,https://database.globalreporting.org/organizations/22003/,,Chemicals,mw,Africa,['2019 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/78379/']
